protocol,packet_length,packet_type,traffic_type,malware_indicators,anomaly_scores,alerts_warnings,attack_signature,action_taken,network_segment,log_source,hour,day,week_day,month,browser,device_os,severity_encoded,target
UDP,250,1,FTP,0,83,1,Known Pattern A,Ignored,Segment B,1,19,4,1,8,Mozilla,Linux,0,DDoS
UDP,723,1,FTP,0,84,0,Known Pattern A,Ignored,Segment B,1,2,24,2,2,Mozilla,Linux,1,DDoS
UDP,973,1,DNS,0,95,0,Known Pattern B,Blocked,Segment B,1,19,6,1,10,Mozilla,iPhone,0,DDoS
UDP,1003,1,DNS,1,94,0,Known Pattern A,Ignored,Segment C,1,8,10,3,2,Mozilla,iPhone,0,DDoS
ICMP,1198,1,HTTP,1,27,1,Known Pattern A,Logged,Segment C,1,19,16,5,4,Opera,Linux,2,DDoS
UDP,119,1,HTTP,1,60,0,Known Pattern B,Blocked,Segment A,1,14,7,6,2,Mozilla,iPad,0,DDoS
ICMP,835,1,DNS,0,16,1,Known Pattern A,Logged,Segment A,1,17,20,1,10,Mozilla,Windows,0,DDoS
ICMP,1433,1,DNS,0,69,0,Known Pattern B,Ignored,Segment B,1,2,13,3,4,Mozilla,Macintosh,2,DDoS
UDP,1272,1,FTP,0,82,1,Known Pattern A,Blocked,Segment B,1,3,7,2,9,Mozilla,Android,0,DDoS
TCP,368,1,HTTP,0,7,1,Known Pattern B,Ignored,Segment A,1,12,13,5,6,Opera,Windows,0,DDoS
TCP,1421,1,DNS,0,65,1,Known Pattern B,Blocked,Segment A,1,13,9,0,3,Mozilla,Macintosh,1,DDoS
ICMP,958,1,DNS,0,34,1,Known Pattern A,Ignored,Segment C,1,2,9,6,7,Opera,Linux,0,DDoS
UDP,1198,1,FTP,1,97,1,Known Pattern A,Logged,Segment B,1,10,17,6,10,Mozilla,iPod,1,DDoS
TCP,1356,1,HTTP,1,4,1,Known Pattern A,Logged,Segment A,1,4,27,6,8,Mozilla,Windows,1,DDoS
ICMP,1181,1,DNS,0,44,0,Known Pattern A,Blocked,Segment B,1,2,6,5,11,Mozilla,Linux,0,DDoS
ICMP,517,1,HTTP,0,75,0,Known Pattern A,Logged,Segment B,1,5,10,6,1,Opera,Linux,1,DDoS
ICMP,245,1,DNS,0,85,1,Known Pattern B,Logged,Segment C,1,5,4,4,6,Mozilla,Macintosh,2,DDoS
TCP,1234,1,FTP,0,85,0,Known Pattern B,Logged,Segment A,1,14,6,1,9,Mozilla,Linux,1,DDoS
ICMP,341,1,HTTP,0,1,1,Known Pattern A,Ignored,Segment A,1,23,8,1,11,Mozilla,Windows,0,DDoS
ICMP,1278,1,DNS,1,21,0,Known Pattern B,Logged,Segment A,1,9,15,0,6,Mozilla,Linux,0,DDoS
UDP,261,1,FTP,1,34,0,Known Pattern B,Logged,Segment B,1,3,21,3,1,Mozilla,Linux,0,DDoS
TCP,1345,1,FTP,1,81,1,Known Pattern B,Blocked,Segment B,1,13,26,3,3,Mozilla,Windows,0,DDoS
ICMP,404,1,DNS,0,32,1,Known Pattern B,Logged,Segment B,1,17,11,6,9,Mozilla,Macintosh,2,DDoS
ICMP,651,1,DNS,1,78,0,Known Pattern B,Blocked,Segment C,1,2,26,1,5,Opera,Windows,2,DDoS
TCP,830,1,FTP,1,79,1,Known Pattern B,Blocked,Segment A,1,11,5,3,1,Mozilla,Windows,1,DDoS
TCP,1052,1,FTP,1,81,1,Known Pattern B,Logged,Segment C,1,20,5,3,11,Mozilla,iPod,1,DDoS
TCP,1472,1,DNS,0,61,0,Known Pattern B,Ignored,Segment A,1,9,24,0,8,Mozilla,iPhone,1,DDoS
ICMP,95,1,DNS,0,70,0,Known Pattern A,Ignored,Segment C,1,14,6,5,11,Mozilla,Linux,0,DDoS
UDP,1492,1,DNS,0,15,1,Known Pattern B,Ignored,Segment B,1,17,6,3,1,Mozilla,Linux,2,DDoS
TCP,1005,1,FTP,0,16,1,Known Pattern B,Blocked,Segment A,1,1,18,3,11,Mozilla,Android,1,DDoS
UDP,505,1,DNS,0,31,1,Known Pattern A,Ignored,Segment C,1,6,20,6,11,Mozilla,iPad,1,DDoS
UDP,1193,1,DNS,0,97,0,Known Pattern B,Logged,Segment C,1,0,19,3,5,Mozilla,Windows,2,DDoS
TCP,1335,1,FTP,0,62,1,Known Pattern A,Blocked,Segment C,1,13,17,0,5,Mozilla,Android,2,DDoS
TCP,590,1,HTTP,1,78,1,Known Pattern B,Ignored,Segment A,1,23,24,1,8,Mozilla,Windows,0,DDoS
ICMP,523,1,DNS,0,91,0,Known Pattern A,Blocked,Segment C,1,10,19,2,1,Mozilla,Windows,2,DDoS
ICMP,107,1,FTP,0,3,1,Known Pattern A,Logged,Segment A,1,12,7,6,3,Mozilla,Windows,2,DDoS
TCP,824,1,DNS,1,76,1,Known Pattern A,Ignored,Segment B,1,7,16,6,7,Mozilla,Windows,1,DDoS
ICMP,1424,1,FTP,1,53,1,Known Pattern B,Logged,Segment B,1,1,20,0,9,Mozilla,Android,0,DDoS
TCP,1396,1,FTP,1,16,0,Known Pattern B,Blocked,Segment A,1,7,3,3,12,Mozilla,Windows,0,DDoS
UDP,687,1,FTP,1,67,0,Known Pattern A,Ignored,Segment C,1,18,15,2,2,Opera,Windows,1,DDoS
ICMP,1276,1,HTTP,0,78,1,Known Pattern B,Ignored,Segment A,1,14,4,6,10,Mozilla,iPad,0,DDoS
UDP,930,1,DNS,1,67,1,Known Pattern A,Ignored,Segment B,1,5,16,1,2,Mozilla,Linux,0,DDoS
TCP,680,1,DNS,0,42,0,Known Pattern A,Ignored,Segment B,1,4,5,4,8,Opera,Linux,1,DDoS
TCP,1257,1,HTTP,1,3,0,Known Pattern B,Logged,Segment B,1,15,3,3,8,Mozilla,Linux,0,DDoS
TCP,1070,1,DNS,1,64,1,Known Pattern B,Logged,Segment B,1,8,21,5,8,Mozilla,Linux,1,DDoS
UDP,96,1,DNS,0,5,0,Known Pattern A,Blocked,Segment B,1,12,5,4,8,Mozilla,Linux,2,DDoS
TCP,765,1,DNS,1,47,0,Known Pattern B,Blocked,Segment A,1,16,22,2,2,Mozilla,iPhone,0,DDoS
ICMP,250,1,FTP,1,21,1,Known Pattern A,Blocked,Segment A,1,9,30,0,11,Mozilla,Windows,1,DDoS
ICMP,852,1,FTP,0,18,0,Known Pattern A,Logged,Segment B,1,12,29,2,1,Mozilla,Windows,0,DDoS
UDP,944,1,FTP,1,57,1,Known Pattern B,Logged,Segment A,1,11,1,0,2,Mozilla,iPhone,2,DDoS
ICMP,1403,1,DNS,1,87,0,Known Pattern A,Ignored,Segment A,1,22,3,5,7,Mozilla,Macintosh,2,DDoS
TCP,182,1,HTTP,1,53,1,Known Pattern A,Ignored,Segment C,1,20,6,6,11,Mozilla,Windows,1,DDoS
ICMP,162,1,FTP,0,42,1,Known Pattern B,Blocked,Segment C,1,13,17,4,1,Opera,Windows,1,DDoS
TCP,674,1,HTTP,0,19,1,Known Pattern B,Ignored,Segment B,1,5,22,1,3,Opera,Windows,0,DDoS
TCP,932,1,DNS,1,35,0,Known Pattern B,Blocked,Segment C,1,9,27,3,7,Mozilla,iPod,1,DDoS
TCP,1303,1,FTP,0,15,1,Known Pattern B,Blocked,Segment C,1,23,30,1,5,Mozilla,iPad,0,DDoS
UDP,1439,1,HTTP,1,89,0,Known Pattern A,Logged,Segment A,1,2,26,2,4,Mozilla,iPod,2,DDoS
UDP,1460,1,FTP,1,76,0,Known Pattern B,Ignored,Segment C,1,8,23,2,2,Mozilla,Windows,1,DDoS
UDP,1440,1,FTP,1,51,1,Known Pattern B,Logged,Segment C,1,12,26,3,1,Mozilla,Macintosh,1,DDoS
TCP,1052,1,DNS,0,20,1,Known Pattern B,Ignored,Segment C,1,2,25,5,1,Mozilla,Windows,2,DDoS
TCP,740,1,FTP,0,95,0,Known Pattern A,Blocked,Segment C,1,4,7,1,7,Mozilla,Windows,0,DDoS
ICMP,373,1,DNS,1,47,1,Known Pattern A,Blocked,Segment B,1,21,24,3,9,Mozilla,Windows,1,DDoS
ICMP,579,1,DNS,0,46,1,Known Pattern B,Blocked,Segment A,1,23,21,3,9,Mozilla,Windows,1,DDoS
ICMP,491,1,FTP,0,46,0,Known Pattern B,Ignored,Segment B,1,20,25,3,6,Mozilla,Windows,0,DDoS
ICMP,1400,1,FTP,0,2,0,Known Pattern B,Blocked,Segment B,1,11,22,6,5,Mozilla,Windows,1,DDoS
ICMP,1278,1,HTTP,1,94,1,Known Pattern B,Blocked,Segment A,1,2,3,2,8,Mozilla,Windows,1,DDoS
UDP,1087,1,HTTP,0,20,1,Known Pattern A,Blocked,Segment C,1,13,8,5,5,Mozilla,Macintosh,2,DDoS
ICMP,1184,1,FTP,0,35,1,Known Pattern A,Blocked,Segment B,1,18,8,0,6,Mozilla,Windows,1,DDoS
ICMP,721,1,HTTP,0,32,1,Known Pattern A,Blocked,Segment A,1,15,2,3,12,Mozilla,Linux,1,DDoS
TCP,479,1,FTP,0,56,0,Known Pattern A,Logged,Segment A,1,8,18,1,4,Mozilla,Windows,1,DDoS
UDP,268,1,FTP,0,38,1,Known Pattern A,Blocked,Segment C,1,8,23,3,9,Mozilla,Macintosh,1,DDoS
UDP,1044,1,DNS,1,6,0,Known Pattern B,Ignored,Segment A,1,13,15,6,5,Mozilla,Windows,2,DDoS
TCP,985,1,FTP,1,78,1,Known Pattern B,Blocked,Segment A,1,21,24,4,1,Opera,Linux,0,DDoS
TCP,1167,1,DNS,1,65,1,Known Pattern B,Ignored,Segment A,1,20,20,4,1,Mozilla,iPod,0,DDoS
UDP,662,1,DNS,1,22,0,Known Pattern B,Logged,Segment B,1,14,1,0,11,Opera,Windows,0,DDoS
UDP,986,1,HTTP,1,92,1,Known Pattern B,Logged,Segment A,1,7,25,1,10,Opera,Linux,2,DDoS
TCP,1336,1,DNS,1,4,1,Known Pattern A,Logged,Segment B,1,22,20,1,9,Mozilla,iPad,2,DDoS
ICMP,174,1,FTP,1,80,1,Known Pattern A,Ignored,Segment C,1,7,24,3,3,Mozilla,Windows,0,DDoS
ICMP,501,1,DNS,0,82,0,Known Pattern B,Blocked,Segment C,1,20,31,0,1,Mozilla,Macintosh,0,DDoS
UDP,443,1,FTP,0,89,0,Known Pattern B,Logged,Segment A,1,9,5,4,11,Opera,Linux,2,DDoS
UDP,475,1,HTTP,0,84,0,Known Pattern B,Blocked,Segment A,1,20,2,3,2,Mozilla,Macintosh,2,DDoS
ICMP,530,1,DNS,0,63,1,Known Pattern B,Logged,Segment B,1,19,18,6,9,Mozilla,iPad,2,DDoS
UDP,654,1,DNS,0,42,1,Known Pattern B,Blocked,Segment A,1,4,27,0,3,Mozilla,Windows,1,DDoS
ICMP,355,1,DNS,1,66,1,Known Pattern A,Ignored,Segment B,1,12,27,5,2,Mozilla,Android,0,DDoS
UDP,117,1,FTP,1,70,0,Known Pattern B,Blocked,Segment A,1,0,26,1,9,Opera,Linux,1,DDoS
TCP,1429,1,FTP,0,79,0,Known Pattern B,Logged,Segment C,1,19,28,4,10,Mozilla,Linux,1,DDoS
UDP,159,1,DNS,1,69,0,Known Pattern B,Ignored,Segment C,1,1,22,2,1,Mozilla,Windows,2,DDoS
ICMP,817,1,HTTP,0,78,0,Known Pattern A,Blocked,Segment C,1,21,6,0,2,Mozilla,Windows,1,DDoS
ICMP,594,1,DNS,1,66,0,Known Pattern A,Ignored,Segment C,1,4,29,3,7,Mozilla,Linux,2,DDoS
UDP,471,1,HTTP,1,25,0,Known Pattern A,Ignored,Segment A,1,8,28,4,7,Mozilla,Linux,1,DDoS
UDP,682,1,DNS,1,93,0,Known Pattern B,Blocked,Segment B,1,11,9,2,3,Opera,Windows,1,DDoS
TCP,1227,1,FTP,1,76,1,Known Pattern B,Blocked,Segment A,1,21,10,3,9,Mozilla,Macintosh,0,DDoS
TCP,1255,1,DNS,0,16,0,Known Pattern B,Ignored,Segment B,1,0,24,4,6,Mozilla,Linux,2,DDoS
UDP,1311,1,FTP,1,69,1,Known Pattern A,Blocked,Segment B,1,13,7,2,6,Mozilla,Macintosh,2,DDoS
TCP,1366,1,FTP,0,85,1,Known Pattern B,Blocked,Segment A,1,4,5,2,10,Opera,Linux,1,DDoS
TCP,1375,1,DNS,1,2,1,Known Pattern A,Blocked,Segment A,1,19,14,1,12,Mozilla,Linux,1,DDoS
TCP,1419,1,FTP,1,10,1,Known Pattern B,Logged,Segment A,1,4,11,4,11,Mozilla,Windows,1,DDoS
UDP,743,1,HTTP,0,94,1,Known Pattern A,Logged,Segment B,1,17,17,5,10,Mozilla,Macintosh,2,DDoS
UDP,272,1,HTTP,0,22,1,Known Pattern A,Ignored,Segment B,1,3,11,1,10,Opera,Linux,1,DDoS
ICMP,302,1,HTTP,0,55,0,Known Pattern A,Logged,Segment B,1,0,16,2,9,Opera,Linux,2,DDoS
ICMP,471,1,DNS,0,51,1,Known Pattern B,Blocked,Segment A,1,12,24,4,9,Mozilla,Windows,0,DDoS
ICMP,206,1,FTP,0,10,1,Known Pattern B,Ignored,Segment A,1,18,10,0,7,Mozilla,Windows,0,DDoS
ICMP,64,1,FTP,1,30,1,Known Pattern A,Blocked,Segment C,1,11,31,5,12,Mozilla,Macintosh,0,DDoS
ICMP,1395,1,DNS,0,23,0,Known Pattern B,Ignored,Segment C,1,8,1,5,8,Mozilla,Windows,0,DDoS
ICMP,1292,1,HTTP,0,17,1,Known Pattern A,Logged,Segment A,1,14,3,1,10,Mozilla,Macintosh,0,DDoS
ICMP,841,1,HTTP,1,8,0,Known Pattern A,Ignored,Segment C,1,3,9,0,10,Mozilla,iPhone,2,DDoS
TCP,668,1,HTTP,0,84,1,Known Pattern A,Logged,Segment C,1,16,1,6,11,Opera,Linux,1,DDoS
TCP,699,1,HTTP,0,29,1,Known Pattern A,Ignored,Segment A,1,19,6,1,7,Mozilla,iPod,2,DDoS
ICMP,938,1,FTP,0,72,1,Known Pattern B,Logged,Segment A,1,18,10,5,12,Mozilla,iPod,0,DDoS
ICMP,278,1,DNS,0,51,1,Known Pattern A,Blocked,Segment A,1,19,20,3,8,Mozilla,iPod,0,DDoS
UDP,729,1,HTTP,0,17,0,Known Pattern B,Ignored,Segment A,1,15,23,5,1,Mozilla,Macintosh,1,DDoS
TCP,1483,1,DNS,0,25,1,Known Pattern B,Blocked,Segment B,1,23,24,1,1,Mozilla,iPod,0,DDoS
TCP,864,1,DNS,0,42,0,Known Pattern A,Ignored,Segment C,1,19,26,0,12,Mozilla,Macintosh,1,DDoS
UDP,1140,1,DNS,1,67,0,Known Pattern B,Blocked,Segment A,1,14,17,1,11,Mozilla,Linux,1,DDoS
UDP,727,1,DNS,1,56,1,Known Pattern B,Blocked,Segment A,1,18,7,0,8,Mozilla,Windows,0,DDoS
ICMP,537,1,DNS,1,21,0,Known Pattern B,Logged,Segment C,1,19,24,2,5,Mozilla,Windows,2,DDoS
UDP,231,1,FTP,0,64,0,Known Pattern A,Blocked,Segment B,1,3,31,4,1,Mozilla,Macintosh,2,DDoS
ICMP,1071,1,DNS,1,87,1,Known Pattern A,Ignored,Segment C,1,12,10,3,8,Mozilla,iPad,1,DDoS
ICMP,672,1,FTP,0,67,1,Known Pattern A,Logged,Segment B,1,17,14,1,9,Opera,Windows,0,DDoS
TCP,714,1,HTTP,0,24,1,Known Pattern B,Ignored,Segment C,1,11,31,5,10,Mozilla,Windows,0,DDoS
TCP,1039,1,FTP,0,68,1,Known Pattern A,Ignored,Segment A,1,22,19,5,12,Mozilla,iPad,1,DDoS
UDP,834,1,DNS,0,93,1,Known Pattern A,Ignored,Segment C,1,16,31,5,7,Mozilla,Linux,1,DDoS
UDP,1268,1,HTTP,0,67,0,Known Pattern A,Ignored,Segment C,1,15,24,4,7,Mozilla,Macintosh,1,DDoS
TCP,462,1,DNS,1,35,0,Known Pattern B,Ignored,Segment C,1,19,22,0,2,Mozilla,Macintosh,1,DDoS
UDP,1278,1,HTTP,0,50,1,Known Pattern A,Ignored,Segment A,1,10,17,3,11,Opera,Linux,0,DDoS
ICMP,164,1,DNS,0,33,1,Known Pattern B,Ignored,Segment B,1,13,16,3,7,Mozilla,Windows,2,DDoS
ICMP,831,1,HTTP,1,33,0,Known Pattern A,Blocked,Segment C,1,14,8,0,11,Mozilla,Macintosh,1,DDoS
UDP,433,1,HTTP,1,3,0,Known Pattern B,Blocked,Segment A,1,4,14,6,11,Mozilla,Android,0,DDoS
ICMP,414,1,HTTP,0,5,0,Known Pattern A,Blocked,Segment C,1,14,19,5,6,Mozilla,Windows,2,DDoS
UDP,1063,1,DNS,0,21,1,Known Pattern B,Ignored,Segment C,1,18,26,4,3,Mozilla,Windows,2,DDoS
TCP,730,1,FTP,0,65,1,Known Pattern B,Blocked,Segment B,1,18,8,3,4,Mozilla,Linux,0,DDoS
TCP,981,1,DNS,1,20,0,Known Pattern B,Logged,Segment B,1,0,9,3,2,Mozilla,Macintosh,2,DDoS
ICMP,855,1,FTP,1,56,1,Known Pattern A,Logged,Segment B,1,0,24,3,3,Opera,Linux,1,DDoS
TCP,1247,1,DNS,0,21,0,Known Pattern B,Logged,Segment A,1,6,3,3,11,Mozilla,Windows,1,DDoS
UDP,539,1,HTTP,1,62,0,Known Pattern A,Logged,Segment C,1,1,5,6,3,Opera,Linux,0,DDoS
UDP,177,1,FTP,0,38,0,Known Pattern A,Logged,Segment C,1,21,3,6,10,Mozilla,Windows,1,DDoS
TCP,1431,1,DNS,0,34,1,Known Pattern A,Logged,Segment C,1,11,4,5,2,Mozilla,Windows,0,DDoS
UDP,893,1,FTP,1,17,1,Known Pattern B,Blocked,Segment C,1,8,16,3,7,Mozilla,iPod,1,DDoS
ICMP,894,1,HTTP,1,8,1,Known Pattern B,Logged,Segment C,1,11,10,1,9,Mozilla,Windows,0,DDoS
TCP,1069,1,HTTP,1,86,1,Known Pattern A,Ignored,Segment C,1,12,9,3,8,Mozilla,Linux,1,DDoS
TCP,714,1,HTTP,0,23,0,Known Pattern A,Ignored,Segment A,1,11,30,5,9,Mozilla,Linux,0,DDoS
TCP,1446,1,DNS,0,34,1,Known Pattern B,Logged,Segment C,1,4,6,1,1,Mozilla,Macintosh,0,DDoS
TCP,648,1,DNS,0,44,1,Known Pattern B,Logged,Segment B,1,2,13,3,4,Mozilla,Windows,1,DDoS
TCP,477,1,FTP,0,56,0,Known Pattern B,Logged,Segment A,1,7,17,1,4,Mozilla,Windows,1,DDoS
ICMP,516,1,FTP,0,88,0,Known Pattern A,Logged,Segment B,1,12,22,1,1,Mozilla,Windows,1,DDoS
UDP,145,1,DNS,1,84,0,Known Pattern B,Blocked,Segment A,1,20,29,4,9,Mozilla,Windows,2,DDoS
UDP,709,1,DNS,0,72,0,Known Pattern B,Blocked,Segment B,1,14,3,2,3,Mozilla,Linux,0,DDoS
ICMP,818,1,DNS,0,75,0,Known Pattern A,Blocked,Segment C,1,21,8,1,2,Mozilla,Windows,0,DDoS
TCP,1211,1,FTP,0,90,0,Known Pattern B,Logged,Segment A,1,16,13,4,3,Mozilla,iPod,0,DDoS
ICMP,1261,1,DNS,0,17,0,Known Pattern B,Logged,Segment A,1,1,22,3,5,Mozilla,Linux,2,DDoS
TCP,1186,1,DNS,0,33,1,Known Pattern A,Blocked,Segment B,1,18,9,0,5,Mozilla,iPod,1,DDoS
TCP,997,1,DNS,0,16,1,Known Pattern B,Logged,Segment C,1,1,18,2,10,Mozilla,Macintosh,1,DDoS
TCP,471,1,DNS,0,11,0,Known Pattern A,Ignored,Segment C,1,10,21,3,3,Mozilla,Macintosh,1,DDoS
TCP,1216,1,DNS,1,83,1,Known Pattern B,Blocked,Segment A,1,16,12,4,9,Mozilla,Windows,0,DDoS
UDP,1193,1,DNS,0,96,1,Known Pattern B,Logged,Segment C,1,11,16,5,9,Mozilla,iPod,1,DDoS
