protocol,packet_length,packet_type,traffic_type,malware_indicators,anomaly_scores,alerts_warnings,attack_signature,action_taken,network_segment,log_source,hour,day,week_day,month,browser,device_os,severity_encoded,target
UDP,1063,1,FTP,0,74,1,Known Pattern B,Blocked,Segment C,1,2,14,6,6,Mozilla,Macintosh,2,Intrusion
TCP,1035,1,FTP,1,45,0,Known Pattern B,Blocked,Segment B,1,21,23,3,7,Mozilla,Windows,0,Intrusion
TCP,1183,1,FTP,0,26,1,Known Pattern A,Logged,Segment A,1,20,17,4,1,Opera,Windows,2,Intrusion
TCP,238,1,HTTP,1,59,1,Known Pattern B,Logged,Segment A,1,16,10,6,10,Opera,Linux,1,Intrusion
TCP,1275,1,HTTP,1,69,1,Known Pattern A,Ignored,Segment A,1,14,24,6,10,Opera,Windows,1,Intrusion
ICMP,1260,1,HTTP,0,61,1,Known Pattern A,Ignored,Segment C,1,4,13,0,3,Mozilla,Macintosh,1,Intrusion
TCP,837,1,DNS,0,35,1,Known Pattern B,Ignored,Segment A,1,1,18,6,4,Mozilla,Windows,0,Intrusion
TCP,877,1,DNS,0,31,1,Known Pattern A,Blocked,Segment C,1,3,8,4,9,Mozilla,Windows,2,Intrusion
ICMP,1343,1,FTP,1,42,1,Known Pattern A,Ignored,Segment A,1,2,23,4,9,Opera,Windows,0,Intrusion
TCP,909,1,DNS,1,84,1,Known Pattern B,Logged,Segment A,1,8,31,2,8,Mozilla,Windows,2,Intrusion
UDP,1009,1,HTTP,1,0,0,Known Pattern B,Blocked,Segment C,1,8,21,5,5,Mozilla,Android,0,Intrusion
TCP,781,1,FTP,0,54,0,Known Pattern B,Blocked,Segment B,1,21,10,3,6,Mozilla,Linux,0,Intrusion
ICMP,803,1,HTTP,0,37,0,Known Pattern B,Ignored,Segment A,1,8,13,4,3,Mozilla,Windows,2,Intrusion
TCP,331,1,HTTP,1,51,0,Known Pattern A,Logged,Segment C,1,4,16,2,2,Opera,Windows,2,Intrusion
ICMP,1114,1,HTTP,1,6,0,Known Pattern B,Logged,Segment A,1,1,17,2,3,Mozilla,Windows,0,Intrusion
ICMP,925,1,FTP,1,60,0,Known Pattern B,Logged,Segment A,1,16,7,5,10,Mozilla,Windows,1,Intrusion
UDP,962,1,HTTP,1,33,0,Known Pattern A,Logged,Segment C,1,0,3,6,5,Opera,Linux,1,Intrusion
ICMP,453,1,HTTP,0,100,1,Known Pattern A,Logged,Segment B,1,5,3,1,10,Mozilla,iPhone,0,Intrusion
TCP,882,1,FTP,0,8,1,Known Pattern A,Ignored,Segment A,1,23,24,3,2,Mozilla,Linux,1,Intrusion
ICMP,697,1,DNS,1,9,0,Known Pattern A,Blocked,Segment A,1,0,19,0,7,Mozilla,Windows,2,Intrusion
ICMP,866,1,HTTP,1,55,0,Known Pattern B,Logged,Segment B,1,22,26,6,6,Opera,Windows,2,Intrusion
ICMP,1076,1,FTP,1,46,1,Known Pattern A,Blocked,Segment A,1,12,16,3,2,Mozilla,Windows,1,Intrusion
TCP,95,1,FTP,1,82,0,Known Pattern B,Ignored,Segment C,1,6,17,6,5,Mozilla,Android,0,Intrusion
ICMP,919,1,DNS,0,61,0,Known Pattern B,Ignored,Segment B,1,1,8,2,7,Opera,Windows,1,Intrusion
UDP,1419,1,DNS,1,58,0,Known Pattern A,Logged,Segment A,1,0,15,2,12,Opera,Linux,0,Intrusion
UDP,976,1,FTP,1,58,1,Known Pattern B,Blocked,Segment B,1,22,19,6,1,Mozilla,Linux,2,Intrusion
TCP,1381,1,FTP,0,47,0,Known Pattern B,Logged,Segment A,1,21,9,3,9,Mozilla,Linux,0,Intrusion
UDP,1080,1,HTTP,0,92,1,Known Pattern B,Blocked,Segment C,1,0,1,6,8,Opera,Linux,2,Intrusion
TCP,235,1,HTTP,1,74,0,Known Pattern B,Ignored,Segment B,1,17,18,3,5,Mozilla,Windows,2,Intrusion
ICMP,1466,1,FTP,0,77,0,Known Pattern B,Ignored,Segment B,1,20,29,1,6,Mozilla,Windows,0,Intrusion
UDP,1033,1,FTP,0,59,1,Known Pattern A,Blocked,Segment A,1,8,11,0,5,Opera,Windows,0,Intrusion
TCP,1463,1,FTP,1,74,0,Known Pattern B,Blocked,Segment C,1,4,14,5,3,Mozilla,Windows,0,Intrusion
ICMP,1154,1,HTTP,0,53,1,Known Pattern A,Logged,Segment B,1,9,25,3,2,Mozilla,Macintosh,2,Intrusion
ICMP,234,1,DNS,0,32,0,Known Pattern A,Logged,Segment B,1,11,8,6,1,Mozilla,iPod,0,Intrusion
ICMP,417,1,HTTP,1,3,0,Known Pattern B,Logged,Segment C,1,18,27,3,5,Mozilla,Macintosh,1,Intrusion
UDP,1278,1,HTTP,1,62,0,Known Pattern B,Blocked,Segment C,1,12,4,1,1,Opera,Linux,1,Intrusion
UDP,955,1,HTTP,1,48,0,Known Pattern A,Ignored,Segment C,1,20,28,1,4,Mozilla,Windows,1,Intrusion
ICMP,1407,1,DNS,1,14,0,Known Pattern A,Ignored,Segment B,1,6,30,2,8,Mozilla,iPod,1,Intrusion
TCP,518,1,HTTP,0,73,1,Known Pattern B,Ignored,Segment C,1,0,6,6,8,Opera,Linux,0,Intrusion
TCP,940,1,DNS,1,43,1,Known Pattern A,Logged,Segment A,1,12,11,1,4,Mozilla,Windows,1,Intrusion
TCP,1474,1,FTP,1,81,0,Known Pattern B,Blocked,Segment A,1,23,13,1,10,Mozilla,Windows,1,Intrusion
UDP,404,1,FTP,0,18,1,Known Pattern B,Ignored,Segment C,1,17,8,3,10,Mozilla,Linux,1,Intrusion
ICMP,1305,1,HTTP,0,57,1,Known Pattern B,Blocked,Segment C,1,13,7,0,2,Opera,Linux,1,Intrusion
UDP,136,1,HTTP,1,96,1,Known Pattern A,Blocked,Segment B,1,22,5,5,3,Mozilla,Windows,1,Intrusion
ICMP,1268,1,HTTP,0,18,1,Known Pattern A,Ignored,Segment C,1,12,18,4,11,Mozilla,iPod,1,Intrusion
UDP,809,1,FTP,0,92,0,Known Pattern A,Logged,Segment A,1,21,26,1,9,Opera,Windows,0,Intrusion
UDP,1470,1,FTP,0,39,1,Known Pattern B,Ignored,Segment A,1,2,19,5,11,Mozilla,Windows,2,Intrusion
ICMP,1400,1,HTTP,0,52,1,Known Pattern A,Ignored,Segment C,1,3,3,3,6,Mozilla,Windows,1,Intrusion
ICMP,910,1,DNS,1,51,0,Known Pattern A,Logged,Segment B,1,12,1,0,8,Mozilla,Linux,0,Intrusion
UDP,1254,1,DNS,0,36,0,Known Pattern B,Ignored,Segment B,1,1,5,6,4,Mozilla,iPod,2,Intrusion
TCP,1200,1,DNS,1,12,0,Known Pattern A,Blocked,Segment A,1,19,7,3,9,Mozilla,Linux,2,Intrusion
UDP,570,1,DNS,1,83,0,Known Pattern B,Blocked,Segment C,1,22,24,0,7,Opera,Linux,0,Intrusion
TCP,731,1,FTP,1,36,1,Known Pattern B,Blocked,Segment A,1,21,1,0,5,Mozilla,Linux,2,Intrusion
TCP,208,1,DNS,1,59,0,Known Pattern B,Ignored,Segment B,1,10,8,1,2,Opera,Linux,0,Intrusion
TCP,870,1,HTTP,1,25,1,Known Pattern B,Blocked,Segment A,1,14,1,2,3,Mozilla,Windows,2,Intrusion
UDP,1433,1,FTP,1,78,1,Known Pattern B,Ignored,Segment A,1,14,16,1,6,Mozilla,iPod,2,Intrusion
TCP,473,1,HTTP,1,5,1,Known Pattern A,Blocked,Segment A,1,9,13,0,4,Mozilla,Linux,1,Intrusion
ICMP,869,1,DNS,0,23,0,Known Pattern B,Logged,Segment A,1,9,14,6,6,Mozilla,Windows,2,Intrusion
TCP,1072,1,HTTP,0,7,1,Known Pattern A,Blocked,Segment B,1,11,15,4,7,Mozilla,Windows,0,Intrusion
ICMP,766,1,DNS,1,55,1,Known Pattern B,Logged,Segment B,1,1,22,0,5,Mozilla,Linux,0,Intrusion
ICMP,241,1,FTP,0,14,1,Known Pattern A,Blocked,Segment B,1,17,27,6,12,Mozilla,iPod,2,Intrusion
TCP,1034,1,FTP,0,56,1,Known Pattern A,Logged,Segment B,1,16,24,1,8,Mozilla,Windows,2,Intrusion
ICMP,1487,1,HTTP,0,60,0,Known Pattern A,Ignored,Segment C,1,6,28,0,12,Mozilla,Windows,1,Intrusion
UDP,528,1,HTTP,0,51,0,Known Pattern A,Ignored,Segment B,1,10,26,4,6,Opera,Linux,0,Intrusion
ICMP,762,1,HTTP,1,52,0,Known Pattern B,Blocked,Segment A,1,22,20,0,4,Mozilla,iPad,2,Intrusion
ICMP,1327,1,DNS,0,59,1,Known Pattern B,Blocked,Segment B,1,0,16,6,8,Mozilla,Windows,0,Intrusion
TCP,1036,1,DNS,1,78,1,Known Pattern A,Blocked,Segment B,1,5,30,2,12,Mozilla,Linux,2,Intrusion
ICMP,1330,1,FTP,1,9,1,Known Pattern A,Ignored,Segment C,1,4,22,3,7,Mozilla,Windows,0,Intrusion
UDP,1495,1,DNS,0,93,1,Known Pattern A,Blocked,Segment A,1,19,13,2,1,Mozilla,Windows,0,Intrusion
ICMP,1084,1,HTTP,0,90,0,Known Pattern A,Blocked,Segment C,1,0,17,3,2,Mozilla,Macintosh,0,Intrusion
TCP,1166,1,HTTP,0,3,0,Known Pattern B,Ignored,Segment B,1,2,21,4,4,Mozilla,iPad,2,Intrusion
UDP,1163,1,FTP,1,15,1,Known Pattern B,Ignored,Segment B,1,3,14,0,12,Mozilla,Macintosh,2,Intrusion
ICMP,632,1,DNS,0,83,0,Known Pattern B,Blocked,Segment A,1,20,2,0,1,Mozilla,Windows,1,Intrusion
UDP,1485,1,DNS,1,2,1,Known Pattern B,Ignored,Segment C,1,4,9,5,4,Mozilla,Windows,0,Intrusion
ICMP,269,1,HTTP,0,63,1,Known Pattern B,Ignored,Segment A,1,16,6,1,7,Opera,Linux,1,Intrusion
UDP,664,1,DNS,0,87,1,Known Pattern B,Ignored,Segment A,1,3,16,5,10,Mozilla,iPod,0,Intrusion
UDP,1378,1,HTTP,0,76,1,Known Pattern A,Ignored,Segment A,1,15,8,2,9,Opera,Linux,2,Intrusion
TCP,995,1,FTP,0,16,1,Known Pattern A,Blocked,Segment B,1,9,20,3,1,Mozilla,Linux,0,Intrusion
UDP,291,1,FTP,0,95,1,Known Pattern A,Logged,Segment B,1,1,22,5,7,Opera,Windows,2,Intrusion
ICMP,848,1,FTP,1,11,1,Known Pattern B,Logged,Segment C,1,17,28,5,8,Opera,Linux,1,Intrusion
ICMP,561,1,DNS,1,36,1,Known Pattern A,Logged,Segment C,1,16,8,2,1,Mozilla,Macintosh,0,Intrusion
ICMP,241,1,FTP,1,28,1,Known Pattern A,Blocked,Segment A,1,15,15,0,11,Mozilla,Windows,1,Intrusion
TCP,871,1,DNS,0,55,1,Known Pattern A,Ignored,Segment B,1,21,28,0,2,Mozilla,Macintosh,2,Intrusion
UDP,559,1,FTP,1,2,0,Known Pattern B,Ignored,Segment B,1,6,29,1,3,Opera,Windows,2,Intrusion
TCP,1412,1,FTP,0,54,0,Known Pattern A,Blocked,Segment A,1,21,20,0,3,Opera,Linux,1,Intrusion
TCP,567,1,FTP,1,10,0,Known Pattern A,Ignored,Segment B,1,14,29,5,7,Mozilla,Windows,2,Intrusion
ICMP,726,1,DNS,1,48,0,Known Pattern A,Blocked,Segment A,1,2,21,5,8,Mozilla,Macintosh,0,Intrusion
ICMP,1160,1,HTTP,0,83,0,Known Pattern A,Blocked,Segment A,1,20,1,2,1,Mozilla,Linux,2,Intrusion
ICMP,1432,1,DNS,0,4,0,Known Pattern B,Logged,Segment A,1,19,27,3,4,Mozilla,Windows,1,Intrusion
UDP,1142,1,FTP,1,13,0,Known Pattern B,Blocked,Segment B,1,18,16,2,12,Mozilla,Windows,1,Intrusion
TCP,265,1,FTP,0,88,1,Known Pattern A,Blocked,Segment B,1,10,4,2,3,Mozilla,Macintosh,0,Intrusion
UDP,608,1,FTP,1,30,0,Known Pattern B,Logged,Segment A,1,0,30,5,5,Mozilla,Windows,0,Intrusion
ICMP,970,1,HTTP,0,47,0,Known Pattern A,Ignored,Segment A,1,16,1,2,9,Mozilla,Windows,2,Intrusion
TCP,1227,1,FTP,1,76,1,Known Pattern B,Blocked,Segment A,1,21,10,3,9,Mozilla,Macintosh,0,Intrusion
UDP,178,1,DNS,1,88,0,Known Pattern B,Blocked,Segment B,1,11,11,3,3,Mozilla,Windows,2,Intrusion
ICMP,1281,1,HTTP,0,31,0,Known Pattern A,Logged,Segment A,1,22,27,2,4,Mozilla,Windows,1,Intrusion
ICMP,299,1,DNS,1,99,1,Known Pattern B,Ignored,Segment B,1,2,25,2,5,Mozilla,Windows,2,Intrusion
TCP,235,1,DNS,1,65,0,Known Pattern A,Logged,Segment C,1,12,7,4,10,Mozilla,Windows,2,Intrusion
ICMP,683,1,FTP,0,5,1,Known Pattern A,Blocked,Segment B,1,12,5,0,9,Mozilla,iPhone,1,Intrusion
UDP,251,1,FTP,1,22,0,Known Pattern B,Logged,Segment B,1,9,23,2,11,Opera,Linux,1,Intrusion
TCP,722,1,HTTP,1,66,1,Known Pattern B,Blocked,Segment A,1,2,19,0,4,Mozilla,Macintosh,1,Intrusion
ICMP,190,1,HTTP,1,91,0,Known Pattern A,Blocked,Segment C,1,14,17,3,8,Mozilla,Linux,1,Intrusion
UDP,722,1,HTTP,1,61,0,Known Pattern A,Logged,Segment C,1,22,10,1,3,Mozilla,Windows,1,Intrusion
UDP,387,1,HTTP,0,93,1,Known Pattern A,Ignored,Segment C,1,12,5,2,10,Mozilla,Macintosh,0,Intrusion
ICMP,1223,1,DNS,0,88,1,Known Pattern A,Ignored,Segment B,1,0,16,0,1,Mozilla,iPad,2,Intrusion
ICMP,1162,1,FTP,0,86,1,Known Pattern A,Blocked,Segment C,1,7,21,1,7,Mozilla,Windows,2,Intrusion
UDP,891,1,HTTP,1,74,1,Known Pattern B,Ignored,Segment C,1,17,6,6,9,Mozilla,Linux,2,Intrusion
TCP,1276,1,DNS,1,18,0,Known Pattern B,Ignored,Segment B,1,2,30,3,9,Opera,Linux,2,Intrusion
TCP,537,1,HTTP,0,38,0,Known Pattern B,Ignored,Segment C,1,6,29,0,11,Mozilla,Android,0,Intrusion
TCP,535,1,HTTP,1,87,1,Known Pattern A,Blocked,Segment B,1,0,10,3,6,Mozilla,Linux,1,Intrusion
UDP,836,1,FTP,0,12,0,Known Pattern A,Ignored,Segment B,1,23,22,4,9,Mozilla,Windows,1,Intrusion
ICMP,1425,1,HTTP,1,41,0,Known Pattern B,Blocked,Segment C,1,10,1,2,9,Mozilla,Windows,2,Intrusion
UDP,91,1,FTP,1,86,1,Known Pattern A,Logged,Segment B,1,6,29,0,5,Mozilla,iPod,0,Intrusion
ICMP,1325,1,HTTP,1,90,1,Known Pattern B,Ignored,Segment B,1,0,16,4,10,Mozilla,Windows,1,Intrusion
TCP,113,1,DNS,0,67,0,Known Pattern A,Blocked,Segment A,1,3,27,1,7,Mozilla,Windows,2,Intrusion
TCP,780,1,FTP,1,40,0,Known Pattern B,Logged,Segment B,1,21,18,2,8,Opera,Linux,1,Intrusion
UDP,326,1,FTP,0,36,0,Known Pattern A,Logged,Segment B,1,10,8,3,9,Mozilla,Windows,1,Intrusion
UDP,621,1,FTP,0,55,1,Known Pattern B,Logged,Segment B,1,7,25,1,5,Mozilla,iPod,0,Intrusion
TCP,707,1,HTTP,1,10,1,Known Pattern B,Logged,Segment A,1,22,18,6,9,Mozilla,Windows,2,Intrusion
TCP,1179,1,HTTP,0,79,0,Known Pattern A,Logged,Segment B,1,6,6,2,4,Opera,Windows,2,Intrusion
TCP,76,1,DNS,1,60,1,Known Pattern A,Ignored,Segment A,1,2,21,4,10,Mozilla,Windows,2,Intrusion
UDP,882,1,FTP,1,26,0,Known Pattern A,Ignored,Segment B,1,2,9,3,6,Mozilla,Linux,1,Intrusion
UDP,454,1,DNS,0,5,1,Known Pattern A,Ignored,Segment C,1,21,9,3,4,Mozilla,Windows,0,Intrusion
ICMP,158,1,DNS,0,40,1,Known Pattern A,Ignored,Segment A,1,2,22,2,3,Mozilla,Linux,2,Intrusion
TCP,224,1,DNS,1,55,0,Known Pattern B,Blocked,Segment A,1,18,1,4,10,Mozilla,Windows,2,Intrusion
TCP,735,1,FTP,0,87,0,Known Pattern A,Blocked,Segment A,1,16,18,4,12,Mozilla,Windows,2,Intrusion
UDP,1249,1,HTTP,0,41,1,Known Pattern B,Ignored,Segment B,1,10,14,0,11,Opera,Linux,0,Intrusion
ICMP,1268,1,FTP,0,62,0,Known Pattern B,Blocked,Segment B,1,5,10,0,8,Mozilla,Windows,2,Intrusion
TCP,119,1,HTTP,1,62,0,Known Pattern B,Ignored,Segment B,1,22,2,6,8,Mozilla,Windows,2,Intrusion
UDP,397,1,DNS,0,57,0,Known Pattern A,Logged,Segment A,1,0,30,1,6,Mozilla,Android,2,Intrusion
TCP,908,1,DNS,1,64,1,Known Pattern B,Logged,Segment C,1,9,8,5,4,Mozilla,Windows,1,Intrusion
UDP,776,1,HTTP,0,6,0,Known Pattern B,Blocked,Segment B,1,23,23,4,6,Mozilla,Macintosh,2,Intrusion
TCP,920,1,FTP,0,13,0,Known Pattern B,Blocked,Segment B,1,2,20,0,9,Mozilla,Windows,2,Intrusion
ICMP,689,1,HTTP,1,40,0,Known Pattern B,Blocked,Segment C,1,7,22,4,5,Mozilla,iPod,1,Intrusion
ICMP,776,1,HTTP,1,62,0,Known Pattern A,Ignored,Segment A,1,19,12,6,3,Mozilla,Android,2,Intrusion
ICMP,428,1,DNS,0,21,1,Known Pattern B,Logged,Segment A,1,22,5,2,5,Mozilla,Macintosh,0,Intrusion
UDP,1319,1,HTTP,1,32,1,Known Pattern A,Logged,Segment B,1,8,14,3,1,Mozilla,Windows,0,Intrusion
UDP,553,1,FTP,0,68,1,Known Pattern A,Logged,Segment B,1,7,10,5,12,Mozilla,iPod,1,Intrusion
UDP,1460,1,DNS,1,56,1,Known Pattern A,Blocked,Segment A,1,17,31,4,3,Mozilla,Windows,0,Intrusion
ICMP,1221,1,FTP,1,16,1,Known Pattern B,Ignored,Segment A,1,8,14,0,9,Opera,Windows,0,Intrusion
TCP,1491,1,HTTP,1,53,0,Known Pattern A,Blocked,Segment C,1,18,23,2,3,Mozilla,iPhone,1,Intrusion
TCP,1216,1,FTP,0,43,1,Known Pattern A,Ignored,Segment A,1,2,16,1,5,Opera,Windows,1,Intrusion
ICMP,1185,1,HTTP,1,41,1,Known Pattern A,Logged,Segment B,1,1,25,3,8,Mozilla,Windows,2,Intrusion
TCP,1072,1,HTTP,0,28,0,Known Pattern A,Logged,Segment C,1,16,5,2,10,Mozilla,Windows,2,Intrusion
TCP,1195,1,FTP,0,6,1,Known Pattern B,Ignored,Segment B,1,18,5,3,3,Mozilla,Macintosh,0,Intrusion
TCP,991,1,DNS,0,56,0,Known Pattern B,Ignored,Segment C,1,0,6,5,3,Mozilla,Windows,0,Intrusion
UDP,218,1,DNS,0,51,1,Known Pattern B,Ignored,Segment B,1,11,18,0,1,Opera,Windows,0,Intrusion
ICMP,192,1,DNS,1,9,0,Known Pattern B,Logged,Segment A,1,11,9,2,12,Mozilla,Windows,0,Intrusion
UDP,585,1,HTTP,1,77,1,Known Pattern A,Ignored,Segment A,1,0,14,0,3,Mozilla,iPod,0,Intrusion
ICMP,1486,1,HTTP,1,83,1,Known Pattern B,Logged,Segment A,1,11,20,0,3,Opera,Linux,1,Intrusion
TCP,637,1,DNS,0,55,1,Known Pattern A,Blocked,Segment B,1,15,20,0,7,Mozilla,Linux,0,Intrusion
TCP,1193,1,FTP,0,10,1,Known Pattern A,Blocked,Segment A,1,20,20,6,9,Opera,Windows,2,Intrusion
UDP,1333,1,DNS,0,41,0,Known Pattern B,Blocked,Segment B,1,0,9,5,10,Mozilla,Macintosh,2,Intrusion
UDP,669,1,FTP,0,18,0,Known Pattern A,Logged,Segment C,1,11,8,0,3,Opera,Windows,0,Intrusion
UDP,1444,1,DNS,0,85,0,Known Pattern A,Logged,Segment C,1,20,10,0,8,Opera,Windows,2,Intrusion
TCP,314,1,DNS,0,67,0,Known Pattern B,Logged,Segment B,1,10,9,5,9,Mozilla,Macintosh,0,Intrusion
UDP,542,1,DNS,1,66,0,Known Pattern B,Logged,Segment B,1,1,15,4,9,Mozilla,Windows,0,Intrusion
UDP,169,1,DNS,0,76,0,Known Pattern B,Logged,Segment B,1,13,3,3,11,Opera,Linux,0,Intrusion
TCP,638,1,DNS,1,10,0,Known Pattern B,Logged,Segment A,1,19,27,2,9,Mozilla,Windows,1,Intrusion
ICMP,708,1,HTTP,0,32,1,Known Pattern B,Logged,Segment B,1,18,20,0,9,Opera,Windows,2,Intrusion
TCP,785,1,DNS,0,55,0,Known Pattern B,Blocked,Segment A,1,13,5,0,4,Opera,Linux,0,Intrusion
ICMP,229,1,HTTP,1,97,1,Known Pattern B,Logged,Segment B,1,6,24,1,1,Mozilla,Windows,2,Intrusion
UDP,511,1,DNS,1,62,1,Known Pattern B,Blocked,Segment C,1,17,30,6,1,Mozilla,Macintosh,2,Intrusion
ICMP,816,1,FTP,0,71,0,Known Pattern A,Logged,Segment B,1,1,15,3,7,Opera,Linux,0,Intrusion
UDP,1051,1,HTTP,0,46,1,Known Pattern A,Logged,Segment B,1,17,12,0,12,Mozilla,Windows,1,Intrusion
UDP,540,1,DNS,1,85,1,Known Pattern A,Blocked,Segment B,1,16,18,4,2,Opera,Linux,0,Intrusion
ICMP,317,1,DNS,1,28,0,Known Pattern A,Logged,Segment B,1,18,9,5,9,Mozilla,Macintosh,2,Intrusion
ICMP,1397,1,FTP,1,12,0,Known Pattern B,Ignored,Segment A,1,19,6,5,8,Mozilla,Android,0,Intrusion
UDP,970,1,FTP,1,51,0,Known Pattern A,Ignored,Segment C,1,5,3,6,1,Mozilla,Windows,1,Intrusion
TCP,662,1,HTTP,1,5,0,Known Pattern B,Logged,Segment A,1,14,16,5,5,Mozilla,Windows,2,Intrusion
ICMP,543,1,HTTP,1,6,0,Known Pattern A,Logged,Segment B,1,7,27,6,12,Opera,Linux,1,Intrusion
ICMP,1356,1,HTTP,1,53,1,Known Pattern B,Blocked,Segment C,1,12,17,5,7,Mozilla,Windows,2,Intrusion
UDP,248,1,FTP,0,12,1,Known Pattern A,Ignored,Segment C,1,22,14,3,4,Mozilla,Windows,0,Intrusion
UDP,1435,1,FTP,0,94,0,Known Pattern B,Logged,Segment C,1,22,11,1,4,Mozilla,Android,0,Intrusion
UDP,97,1,DNS,0,99,1,Known Pattern B,Blocked,Segment B,1,3,25,4,8,Mozilla,Linux,0,Intrusion
UDP,1207,1,FTP,1,61,0,Known Pattern B,Blocked,Segment C,1,2,15,3,10,Mozilla,Windows,2,Intrusion
UDP,1272,1,FTP,0,82,1,Known Pattern A,Blocked,Segment B,1,3,7,2,9,Mozilla,Android,0,Intrusion
ICMP,502,1,HTTP,1,90,0,Known Pattern A,Blocked,Segment A,1,0,29,1,6,Mozilla,Linux,1,Intrusion
TCP,884,1,HTTP,0,87,0,Known Pattern B,Logged,Segment A,1,16,12,4,6,Mozilla,iPhone,0,Intrusion
ICMP,598,1,DNS,1,15,0,Known Pattern A,Ignored,Segment C,1,2,26,3,11,Opera,Linux,1,Intrusion
UDP,937,1,DNS,1,87,1,Known Pattern B,Logged,Segment B,1,13,23,2,6,Mozilla,Macintosh,2,Intrusion
